date,beta,size,leverage,book_to_price,earning_yield,growth,liquidity,nl_size,momentum,volatility
2010-01-04,1.0282,0.9727,1.0011,0.9994,0.9974,1.0061,0.9972,0.9988,1.0124,0.9906
2010-02-01,1.02470412,0.95392689,1.00240143,1.00409718,0.99181456,1.00398719,1.00148796,1.00349436,1.0144248,0.98594418
2010-03-01,1.026651058,0.938568667,0.999494466,0.999377923,0.989335024,1.006497158,0.99818305,1.01061917,1.005700747,0.994817678
2010-04-01,1.036814903,0.932561828,0.999094668,0.99228234,0.987554221,1.015454983,0.980016118,1.009709613,1.019780557,0.98874929
2010-05-04,1.041065844,0.943379545,0.99689666,0.986824787,0.984690313,1.025101805,0.973548012,1.009608642,1.039156388,0.98212467
2010-06-01,1.042002804,0.940172054,0.998392005,0.986035327,0.985970411,1.032277518,0.969069691,1.017281667,1.032505787,0.985758531
2010-07-01,1.016682136,0.930488282,1.001886377,0.989979469,1.001844534,1.026806447,0.968003714,1.012296987,1.003802126,0.996503299
2010-08-02,1.015360449,0.911320224,1.000684113,0.980574664,1.003748039,1.030913673,0.966454908,1.011790839,1.014141288,0.991620433
2010-09-01,1.017695778,0.921800406,1.003786234,0.97606402,0.995918804,1.031326038,0.963555544,1.009564899,1.020936035,0.991917919
2010-10-08,1.014133843,0.93129495,1.007901757,0.971671732,1.022310653,1.022044104,0.987066299,0.999671163,1.015014606,0.993504987
2010-11-01,1.033199559,0.903449231,1.002257508,0.969242553,1.012905395,1.035739495,0.969101692,1.003869782,1.036532915,0.989232916
2010-12-01,1.038158917,0.904262336,1.009573987,0.970405644,1.019084117,1.030975093,0.969683153,1.002865912,1.050837069,0.983099672
2011-01-04,1.049890112,0.906703844,1.010987391,0.975451753,1.017759308,1.02695429,0.964931706,1.006576516,1.035915183,0.986540521
2011-02-01,1.045585563,0.893556638,1.011391786,0.975646844,1.022848105,1.019354828,0.970624803,1.004060075,1.036122366,0.997885737
2011-03-01,1.053427455,0.875685505,1.021404565,0.978768913,1.020597839,1.016908377,0.972663115,1.014201081,1.03259955,0.995091657
2011-04-01,1.063751044,0.875335231,1.033457139,0.986011803,1.005288871,1.017620213,0.960796625,1.016128063,1.035903869,0.996285767
2011-05-03,1.065878546,0.873409494,1.030976841,0.982659363,1.00357988,1.02352241,0.956184801,1.020294188,1.036939772,0.992101366
2011-06-01,1.04829155,0.873496835,1.031801623,0.98393682,1.008898854,1.026592977,0.956184801,1.02713016,1.039013652,1.0022208
2011-07-01,1.045146675,0.863888369,1.03025392,0.976065326,1.011320211,1.031315305,0.943467543,1.024562334,1.042961904,1.003223021
2011-08-01,1.04681891,0.85645893,1.026957108,0.964450149,1.014556435,1.036678144,0.935353722,1.024562334,1.043170496,1.000614641
2011-09-01,1.059799464,0.85414649,1.022233105,0.966282604,1.014759347,1.030976415,0.927216145,1.025074615,1.037850327,0.99711249
2011-10-10,1.04930745,0.862090053,1.020597532,0.975269032,1.013744587,1.033141465,0.923043672,1.02609969,1.03297243,1.006186214
2011-11-01,1.051720857,0.855710586,1.013657469,0.969417418,1.012122596,1.043576194,0.911597931,1.028664939,1.038033995,1.006186214
2011-12-01,1.048250178,0.875734214,1.017103904,0.987060815,1.026393525,1.052864022,0.895098008,1.030619403,1.048933352,1.006387451
2012-01-04,1.051499754,0.871880984,1.024528763,0.989331055,1.036041624,1.046862697,0.910583204,1.037215367,1.036555938,1.013130247
2012-02-01,1.037725107,0.859325897,1.021557629,0.992200115,1.038838936,1.047595501,0.912586487,1.035037214,1.022147811,1.021032663
2012-03-01,1.045819363,0.852709088,1.016449841,0.984560174,1.040708846,1.04780502,0.905468312,1.032346118,1.032369289,1.011332853
2012-04-05,1.04299565,0.845802144,1.012790622,0.999820857,1.046640887,1.052834484,0.902027533,1.031417006,1.028033338,1.021547314
2012-05-02,1.037154875,0.840896492,1.008030506,0.996921376,1.046012902,1.04872843,0.898509625,1.029457314,1.039958525,1.023488254
